StockCode;Description;Urun_Toplam_Ciro;Toplam_Satilan_Adet;Ciro_Payi_Yuzdesi
22423;REGENCY CAKESTAND 3 TIER;277656,25;24124;1,64
85123A;WHITE HANGING HEART T-LIGHT HOLDER;247203,36;91814;3,10
85099B;JUMBO BAG RED WHITE SPOTTY ;167920,64;93436;4,09
84879;ASSORTED COLOUR BIRD ORNAMENT;124351,86;78234;4,83
POST;POSTAGE;113881,35;5230;5,50
47566;PARTY BUNTING;103283,38;23460;6,11
22086;PAPER CHAIN KIT 50'S CHRISTMAS ;76598,18;28380;6,56
79321;CHILLI LIGHTS;69084,30;14843;6,97
22386;JUMBO BAG PINK WITH WHITE SPOTS;67769,76;37338;7,37
48138;DOOR MAT UNION FLAG;64269,95;9879;7,75
85099F;JUMBO BAG STRAWBERRY;64127,77;35842;8,13
21137;BLACK RECORD COVER FRAME;63092,12;18417;8,51
20685;RED SPOTTY COIR DOORMAT;60546,64;9364;8,86
20725;LUNCH BAG RED SPOTTY;59375,10;37750;9,21
22197;POPCORN HOLDER , SMALL ;58267,74;76944;9,56
21843;RETRO SPOT CAKE STAND;57946,19;5729;9,90
84347;ROTATING SILVER ANGELS T-LIGHT HLDR;55880,17;28606;10,23
82484;WOOD BLACK BOARD ANT WHITE FINISH;54525,36;9678;10,55
21621;VINTAGE UNION JACK BUNTING;54432,62;6497;10,87
15056N;EDWARDIAN PARASOL NATURAL;54332,61;10948;11,20
85099C;JUMBO  BAG BAROQUE BLACK WHITE;52188,18;28899;11,50
23084;RABBIT NIGHT LIGHT;51251,24;27153;11,81
20914;SET/5 RED SPOTTY LID GLASS BOWLS;50195,33;18235;12,10
22470;HEART OF WICKER LARGE;49859,50;17104;12,40
21733;RED HANGING HEART T-LIGHT HOLDER;48850,60;17228;12,69
21181;PLEASE ONE PERSON  METAL SIGN;47835,30;24166;12,97
21931;JUMBO STORAGE BAG SUKI;47760,99;25970;13,25
22139;RETRO SPOT TEA SET CERAMIC 11 PC ;47531,45;10052;13,53
22189;CREAM HEART CARD HOLDER;47414,20;15946;13,81
15056BL;EDWARDIAN PARASOL BLACK;45885,07;9351;14,08
22178;VICTORIAN GLASS HANGING T-LIGHT;45746,75;37285;14,35
22112;CHOCOLATE HOT WATER BOTTLE;45601,34;9904;14,62
22411;JUMBO SHOPPER VINTAGE RED PAISLEY;45059,13;24295;14,89
22910;PAPER CHAIN KIT VINTAGE CHRISTMAS;44998,27;16469;15,16
21623;VINTAGE UNION JACK MEMOBOARD;44785,83;6125;15,42
48194;DOORMAT HEARTS;44784,46;7442;15,69
48187;DOOR MAT NEW ENGLAND;43982,29;7099;15,95
21212;PACK OF 72 RETRO SPOT CAKE CASES;43390,03;89850;16,20
22469;HEART OF WICKER SMALL;43316,54;26193;16,46
21929;JUMBO BAG PINK VINTAGE PAISLEY;43313,90;24108;16,71
71477;short;43297,22;14870;16,97
22138;BAKING SET 9 PIECE RETROSPOT ;43070,91;9035;17,22
22111;SCOTTIE DOG HOT WATER BOTTLE;42463,20;9092;17,48
21754;HOME BUILDING BLOCK WORD;42453,11;7231;17,73
21175;GIN + TONIC DIET METAL SIGN;42059,24;20229;17,97
21731;RED TOADSTOOL LED NIGHT LIGHT;41824,26;27102;18,22
22090;PAPER BUNTING RETRO SPOTS;41656,49;15227;18,47
21928;JUMBO BAG SCANDINAVIAN PAISLEY;41473,83;23112;18,71
21232;STRAWBERRY CERAMIC TRINKET BOX;40994,71;34935;18,96
21523;FANCY FONT HOME SWEET HOME DOORMAT;40929,84;6564;19,20
22326;ROUND SNACK BOXES SET OF4 WOODLAND ;40414,52;14696;19,44
22457;NATURAL SLATE HEART CHALKBOARD ;40276,17;14187;19,67
82494L;WOODEN FRAME ANTIQUE WHITE ;39909,17;14368;19,91
20727;LUNCH BAG  BLACK SKULL.;39904,00;25392;20,15
21915;RED  HARMONICA IN BOX ;39870,65;35229;20,38
48185;DOOR MAT FAIRY CAKE;39464,68;6400;20,61
84997D;PINK 3 PIECE MINI DOTS CUTLERY SET;38082,82;10284;20,84
22383;LUNCHBAG SUKI  DESIGN ;38007,55;23871;21,06
23203;JUMBO BAG DOILEY PATTERNS;37109,94;19198;21,28
21166;COOK WITH WINE METAL SIGN ;37029,34;19652;21,50
82482;WOODEN PICTURE FRAME WHITE FINISH;37011,10;15643;21,72
84946;ANTIQUE SILVER TEA GLASS ETCHED;36716,86;31553;21,94
20728;LUNCH BAG CARS BLUE;36644,28;23304;22,15
82486;WOOD S/3 CABINET ANT WHITE FINISH;36487,88;4620;22,37
84078A;SET/4 WHITE RETRO STORAGE CUBES ;36259,65;1007;22,58
22629;SPACEBOY LUNCH BOX ;36150,99;20271;22,80
