Customer_id;recency;frequency;monetary;recency_score;frequency_score;monetary_score;RF_SCORE;segment
12346;327;12;77556;2;5;5;25;cant_loose
12347;3;8;4922;5;4;5;54;champions
12348;76;5;2019;3;4;4;34;loyal_customers
12349;20;4;4429;5;3;5;53;potential_loyalists
12350;311;1;334;2;1;2;21;hibernating
12351;376;1;301;2;1;2;21;hibernating
12352;37;10;2850;4;5;4;45;loyal_customers
12353;205;2;407;2;2;2;22;hibernating
12354;233;1;1079;2;1;3;21;hibernating
12355;215;2;948;2;2;3;22;hibernating
12356;24;6;6372;4;4;5;44;loyal_customers
12357;34;2;17438;4;2;5;42;potential_loyalists
12358;3;5;3887;5;4;5;54;champions
12359;59;10;8873;4;5;5;45;loyal_customers
12360;53;8;4253;4;4;5;44;loyal_customers
12361;288;4;511;2;3;2;23;at_Risk
12362;4;11;5356;5;5;5;55;champions
12363;111;2;552;3;2;2;32;about_to_sleep
12364;9;4;1313;5;3;4;53;potential_loyalists
12365;292;2;641;2;2;3;22;hibernating
12366;635;1;500;1;1;2;11;hibernating
12367;5;1;169;5;1;1;51;new_customers
12368;629;1;918;1;1;3;11;hibernating
12369;414;3;1791;1;3;4;13;at_Risk
12370;52;7;4317;4;4;5;44;loyal_customers
12371;46;5;4067;4;4;5;44;loyal_customers
12372;73;3;1298;3;3;4;33;need_attention
12373;312;3;1128;2;3;3;23;at_Risk
12374;26;4;2989;4;3;5;43;potential_loyalists
12375;12;2;458;5;2;2;52;potential_loyalists
12376;391;2;503;2;2;2;22;hibernating
12377;316;4;3426;2;3;5;23;at_Risk
12378;131;2;5416;3;2;5;32;about_to_sleep
12379;83;4;1620;3;3;4;33;need_attention
12380;23;10;8168;4;5;5;45;loyal_customers
12381;6;5;1845;5;4;4;54;champions
12383;186;5;1851;3;4;4;34;loyal_customers
12384;30;2;585;4;2;2;42;potential_loyalists
12385;380;1;1938;2;1;4;21;hibernating
12386;339;2;402;2;2;2;22;hibernating
12387;416;1;144;1;1;1;11;hibernating
12388;17;8;3901;5;4;5;54;champions
12389;404;3;1433;2;3;4;23;at_Risk
12390;81;1;550;3;1;2;31;about_to_sleep
