InvoiceYear;InvoiceMonth;Toplam_Ciro;Siparis_Sayisi;Toplam_Urun_Adedi
2009;12;681487,74;1510;398658
2010;1;541026,38;1003;370072
2010;2;499708,41;1101;352700
2010;3;656211,67;1519;410951
2010;4;590232,32;1327;350583
2010;5;597171,13;1376;384959
2010;6;634521,05;1495;389870
2010;7;585410,65;1379;324630
2010;8;598756,04;1290;452539
2010;9;813376,06;1685;567148
2010;10;1019892,66;2126;596425
2010;11;1165610,02;2586;653065
2010;12;570422,73;1400;311048
2011;1;490917,71;986;274258
2011;2;446084,92;997;265027
2011;3;590707,42;1319;347580
2011;4;459681,23;1146;291360
2011;5;665075,15;1549;372855
2011;6;619126,55;1389;362951
2011;7;597861,32;1329;367357
2011;8;641551,04;1279;397372
2011;9;946237,67;1753;543646
2011;10;1014578,31;1924;591533
2011;11;1149063,43;2656;665617
2011;12;347139,58;777;205782
