StockCode;Description;Toplam_Satis_Adedi;Toplam_Iade_Adedi;Ýade Oraný Yüzde
72140F;HAPPY ANNIVERSARY CANDLE LETTERS;175;5368;96,84
84016;FLAG OF ST GEORGE CAR FLAG;978;20959;95,54
23003;TRAVEL CARD WALLET VINTAGE ROSE ;541;9058;94,36
10120;DOGGY RUBBER;648;9030;93,3
47504G;ENGLISH ROSE TAPE MEASURE;256;3142;92,47
79342B;BROWN FLOWER LIGHTS;109;1316;92,35
23115;RED APPLES CHOPPING BOARD   ;144;1440;90,91
22641;SET OF 4 NAPKIN CHARMS INSTRUMENT;267;2560;90,56
35610A;PINK CHRISTMAS FLOCK DROPLET ;138;1277;90,25
79323B;BLACK CHERRY LIGHTS;231;2046;89,86
22640;SET OF 4 NAPKIN CHARMS 3 KEYS ;298;2560;89,57
22638;SET OF 4 NAPKIN CHARMS CROWNS ;357;2561;87,77
16050;TEATIME PENCIL WITH RUBBER;122;843;87,36
22643;SET OF 4 NAPKIN CHARMS LEAVES   ;405;2560;86,34
47504F;ENGLISH ROSE TORCH;526;2916;84,72
